label,smile_w,smile_h,brow_h,eye_h,brow_i,mouth_drop,brow_v_left,brow_v_right,lip_dist,jaw_dist
happy,0.5447285911916208,0.16943019582327642,0.2014356339942863,0.05083294018695543,0.20357738317685078,0.3140420241744569,0.24247519492047825,0.2447110664271031,0.16943019582327642,1.6927131523505508
angry,0.3896425569552957,0.0009721656418210532,0.17506428462642845,0.08208802907659088,0.20090347636488506,0.2732140195364474,0.19959064539539215,0.1967391996588725,0.0009721656418210532,1.654609135961237
happy,0.47102171107480356,0.0022759201439437634,0.22303608725465393,0.059703207522605196,0.208266217745597,0.2754718803788345,0.2564722969559005,0.2624722421956656,0.0022759201439437634,1.675427771400279
neutral,0.4097635788460776,0.0008631241797347246,0.2530397638376514,0.07374394741153828,0.19874416073574683,0.2940551280056481,0.2870623399467939,0.2861525011492803,0.0008631241797347246,1.6684044124653263
sad,0.43313451640597883,0.004223948653591877,0.22318556500955777,0.07538743687533578,0.20636215783034512,0.2990237977249204,0.24729353476024005,0.25995125402629443,0.004223948653591877,1.6931351955244511
happy,0.5261879253272493,0.13826527508330036,0.19452771145782943,0.06558478022552798,0.2012816917980111,0.2905482764669586,0.22961863622470535,0.23576596747990647,0.13826527508330036,1.6926578723142796
angry,0.386820852096778,0.0011907952919244758,0.1844850298341241,0.07993311074660868,0.200449184198838,0.26430717021187494,0.2118836166950212,0.21989365285888404,0.0011907952919244758,1.6626742275905628
sad,0.4214493489187318,0.10428604189891764,0.21132826421585502,0.05054871177611208,0.2031072456848565,0.31790446142585094,0.2670793851585905,0.2769001624242965,0.10428604189891764,1.7132369234968154
happy,0.475650873459317,0.006262075920260487,0.20718472180128922,0.06443139195158307,0.20935630453963044,0.2641123050506977,0.23640291330415003,0.2391876675638845,0.006262075920260487,1.6786771673355438
angry,0.3988566112483828,0.0028719512238856012,0.17673189361843042,0.07486313042875332,0.20414514178140783,0.2617421667410328,0.20006888619722868,0.2119217448199797,0.0028719512238856012,1.6525187168525741
happy,0.51630807375697,0.16055634552347764,0.20365054856780507,0.05843423677506841,0.2042984658633678,0.26887259044011463,0.23331136227105065,0.2445536957231048,0.16055634552347764,1.6946351335859975
sad,0.4005336190929145,0.001713796467388522,0.21476035304828048,0.07274370097375703,0.20751415725083316,0.2804936986051196,0.238546422193639,0.24075584689033996,0.001713796467388522,1.6608040257288992
sad,0.4192113413625699,0.0022875426730904033,0.18475525721634845,0.08303334851569208,0.1998649729515103,0.29257129054425063,0.2265047593379093,0.23281948688459403,0.0022875426730904033,1.6390691887645532
angry,0.395144367260532,0.0011213925778538378,0.16564471336806988,0.07764144645602358,0.20222899943282657,0.2599016198200497,0.1905203017050442,0.1973282138037848,0.0011213925778538378,1.60246112090568
angry,0.3907591005235846,0.002421643080517209,0.15644001381322778,0.08483228367656191,0.20341851750565992,0.2547376137312345,0.18189753222862462,0.1854485544178225,0.002421643080517209,1.5926620363874708
sad,0.42425759043051836,0.0010493395650003569,0.2016799965045838,0.079387182535647,0.20301472596139206,0.2845882399436875,0.23001777144406207,0.24540737900558368,0.0010493395650003569,1.6611204856434036
sad,0.41121709182641236,0.0014334838230069186,0.16129681935355383,0.08942784581461369,0.20314946226032282,0.2673095121254086,0.20008455969407463,0.20896504013942918,0.0014334838230069186,1.5827796448768192
neutral,0.41025232418424923,0.0026792521451565006,0.2124558640027226,0.08090251919354007,0.20382312479952305,0.2699774189584476,0.2346350070594248,0.23968616199723233,0.0026792521451565006,1.6675084576068266
neutral,0.4366408245782708,0.0024335853522631326,0.2189205729973061,0.0771410316900282,0.20777286598013076,0.27496984882292125,0.24310062477255703,0.2470555160490161,0.0024335853522631326,1.6671691416455319
sad,0.4216480575767288,0.020202571289928657,0.21444677637179682,0.06529953130042238,0.20387522764440996,0.30035926992608136,0.25564992066856557,0.26399146879259733,0.020202571289928657,1.6840279391977762
sad,0.4157513722097589,0.001899099322838357,0.19736701065131956,0.06080861144655147,0.19842574245426942,0.28040313350122703,0.25614695093155143,0.2694013037523836,0.001899099322838357,1.639774485382552
sad,0.3939805544033448,0.00263156273413092,0.19860290583297938,0.08570774431181441,0.20399920963353832,0.26592016201756835,0.23084170094966697,0.24294329167378353,0.00263156273413092,1.6475211337258429
surprise,0.3701916183393766,0.22028925247118983,0.2270395149822972,0.09200312201925517,0.20994454197934476,0.31275199380756463,0.25442095473778353,0.25232616641368255,0.22028925247118983,1.7700235178061792
sad,0.42618154300786076,0.00358846041511573,0.2188629668859193,0.07051256236713414,0.20466663329914084,0.3036530092747984,0.25648527291489087,0.26043784605793713,0.00358846041511573,1.652548911172808
sad,0.41732948269789877,0.00476861543154645,0.19887046613814716,0.08295049803359619,0.1975095512511524,0.2939934118824989,0.23581705421596277,0.24601832542595656,0.00476861543154645,1.6583899280246766
neutral,0.4006780601542037,0.003256297455954698,0.20829957274322405,0.07737186531711884,0.2062547248495072,0.26633464110187455,0.23371665283385198,0.24250907447657616,0.003256297455954698,1.6493317002718015
neutral,0.4218686036067687,0.002259393506905611,0.21858118424925127,0.08226554432294096,0.2059320854610619,0.2861596831899523,0.24543056757702184,0.23941314148437892,0.002259393506905611,1.6889540361696498
happy,0.4920519786074748,0.004495966750984266,0.22409833848633726,0.06383032346433658,0.21329943522615996,0.2603503467632245,0.25051497533833555,0.26225515310585,0.004495966750984266,1.6952782635976298
angry,0.42438663274943317,0.001862648469038305,0.19557163858547902,0.07167025276612814,0.2001783531711921,0.2697627312527376,0.2181859463760009,0.2306580829073773,0.001862648469038305,1.6730479847413193
angry,0.42253202395058936,0.0013989749846590829,0.1923102761276679,0.07512138354614759,0.20294359313429203,0.27204607904697753,0.21315645311278678,0.22751621535584476,0.0013989749846590829,1.6773975105783023
neutral,0.40675209880907087,0.001971741575548818,0.17797321526617887,0.07633525698268882,0.1951688861916802,0.27189176110526503,0.20605949473715165,0.20441838555536224,0.001971741575548818,1.6384957582139887
angry,0.41067777811877243,0.0010636376315949147,0.1696342264867202,0.08042406717951432,0.20345673973153258,0.2662928766421249,0.19604505259341656,0.1974101170152446,0.0010636376315949147,1.619700281375728
sad,0.41801656281482763,0.0017670588151361862,0.20481509811064477,0.08064627065380432,0.20587364603682437,0.2858748743564645,0.2278278178157129,0.24168950387576466,0.0017670588151361862,1.6608584257460286
happy,0.5245282953373713,0.13276071938660733,0.2000905980123566,0.06148364056177314,0.20252043296697814,0.27541623993787206,0.2309422283500598,0.23800813633068982,0.13276071938660733,1.6939339079436209
angry,0.4029998322779613,0.0013511986224983468,0.17088520328814719,0.08167220358216205,0.20029338238142866,0.2675358564451243,0.19977019801415122,0.19833751066314065,0.0013511986224983468,1.6219405286624011
angry,0.4094843705635365,0.001779042547584772,0.17680798686044127,0.08209829226382222,0.2023719609368886,0.2683632156994192,0.20290362515613117,0.20211276222820554,0.001779042547584772,1.6438441310797443
sad,0.44164005958666164,0.0019821482886950717,0.22939993470674086,0.07303924828210778,0.2069171165319651,0.3010921361358268,0.25955690465781284,0.2717381455503911,0.0019821482886950717,1.6907474985461404
sad,0.41287905941031083,0.00045551789516527715,0.1985900989244218,0.07684608847596501,0.20367561788121646,0.2723373398454067,0.23653987087110145,0.2506313063746627,0.00045551789516527715,1.6539430141462133
sad,0.4295206969181574,0.003684669787964241,0.20174978360689735,0.07923023225999805,0.20531387262518394,0.2906240303116333,0.23914472687999566,0.2515244581901183,0.003684669787964241,1.64001275759387
angry,0.38720301330444495,0.0035946296558585916,0.1635764012965239,0.08517619823082592,0.20086586017031818,0.25370577743127043,0.19154303874706546,0.1931851929101522,0.0035946296558585916,1.6160259172306357
angry,0.40145296873301856,0.002325393389701835,0.1645490798109939,0.07970371358826706,0.20278024232544267,0.25879577449459584,0.19443524071441398,0.19323862868498268,0.002325393389701835,1.6131576607006457
sad,0.4243115638502278,0.003700956315702497,0.20720989367993842,0.07677884238040542,0.2015915283183882,0.2986603801437312,0.23984046260413153,0.24659726151755296,0.003700956315702497,1.6708298230274456
sad,0.4221717297789997,0.002038174353289097,0.1981876410925802,0.08837102491786437,0.20558191913511026,0.2867668828579068,0.22419775118688434,0.2419554059878041,0.002038174353289097,1.6716432073010077
sad,0.42134207748694347,0.0011056330982723507,0.19282832404107209,0.0921268536920769,0.20352138643962472,0.27549455870860423,0.22896766570949847,0.24523935159078347,0.0011056330982723507,1.6708053371545761
happy,0.5261735456177172,0.114430702139404,0.19313251645903057,0.06748143776704246,0.20466137017879454,0.2694856796878755,0.2240687374983967,0.2376772962788468,0.114430702139404,1.6881307770700547
angry,0.3956213489929557,0.0014032822917040308,0.16124522013967366,0.08348874732991995,0.19704785535608768,0.26068651045210506,0.18959733187832137,0.1992102951214665,0.0014032822917040308,1.640032131102612
happy,0.49463424251256477,0.001061844638168487,0.19174613834799906,0.06501975794684033,0.2095836444413487,0.2711692400408935,0.22624647344087243,0.2281626768613834,0.001061844638168487,1.6516416204897446
sad,0.4228257000666609,0.0015215306789442859,0.18831270505037512,0.08885861015163361,0.20401165823023598,0.2686368974449969,0.22410596371351144,0.24965613467365708,0.0015215306789442859,1.664800201018537
sad,0.4173700743304364,0.002749792124195727,0.17753337254940219,0.09388741136103543,0.20218596359403757,0.2781204650209742,0.21204637791248135,0.22605943385313373,0.002749792124195727,1.6361368171149726
sad,0.42740431424991904,0.004303477971252654,0.19929426284493829,0.09000981861513838,0.2116913175948098,0.2770989780607857,0.2222304883898429,0.2258979318910334,0.004303477971252654,1.6275973352941697
sad,0.4300218544226609,0.002338981264753373,0.20190253657396603,0.08635489558344053,0.20961606970990454,0.2828282652082097,0.2314389220003196,0.24045288942320425,0.002338981264753373,1.659117078391869
happy,0.5083175727152155,0.004400887302309862,0.19248353806155352,0.06681568628977927,0.21375309440463816,0.2595413175056977,0.22038701106129718,0.22682694208111184,0.004400887302309862,1.641878866711666
angry,0.4186219665726119,0.001014448202457273,0.17876213655538165,0.08226812902552938,0.20322656020030533,0.2661572543221158,0.2027312657317175,0.20449418911412517,0.001014448202457273,1.6365393653077824
neutral,0.4007136458576964,0.003038772552490281,0.19851416858266518,0.0838238630677665,0.20487300530809555,0.26362146335391606,0.2170354194890509,0.22641587682281533,0.003038772552490281,1.669594721752788
neutral,0.40939262678792177,0.0009049537824308101,0.20590091653321776,0.08355835459830226,0.20913117821436686,0.2677385756252835,0.2231780028645806,0.23232852348820426,0.0009049537824308101,1.6554363513739963
neutral,0.4050657957856497,0.001143301898064455,0.20822990498886068,0.08521288151568054,0.21391864322997087,0.2583703300900761,0.22330018702339485,0.23808187090042282,0.001143301898064455,1.6690934557450354
neutral,0.40718102507403003,0.0009357771101668917,0.22661990979474542,0.07972913441633037,0.2084327450657321,0.27070927818241064,0.24524179359291684,0.2518386894944478,0.0009357771101668917,1.6775312140639869
neutral,0.40724237758422743,0.0003891273220805366,0.21288185939584275,0.08412250519111707,0.21065050148993608,0.2629105589757557,0.23000120678902555,0.23908343680749422,0.0003891273220805366,1.6693005977057989
neutral,0.4096804354885302,0.0005613557423451327,0.2067554473678517,0.08913268314974089,0.21395260815504516,0.2629554456332002,0.22300471959403378,0.2349354762557884,0.0005613557423451327,1.6680984225850881
sad,0.4269063851051324,0.0011373239676133935,0.21951020913792962,0.07633375024979365,0.21773122801408268,0.2770572811618818,0.2411589099714506,0.2542989554034153,0.0011373239676133935,1.659774214327866
angry,0.4059944152998503,0.0013269951366467999,0.1667794739683043,0.08874271782246776,0.20761584994108354,0.2556305160482243,0.18975288135734905,0.19512021313870623,0.0013269951366467999,1.6108879417442252
neutral,0.40531399913678345,0.0018190642844151232,0.21652250108158919,0.07896185338909366,0.20643084397890707,0.26841323852647514,0.23535884601188706,0.24400312554323675,0.0018190642844151232,1.6749429798090596
neutral,0.40432566485788374,0.0025981987487104685,0.1982243854850227,0.08993573273540302,0.2090789321745543,0.2590940695792477,0.21635017214405697,0.22412017568436188,0.0025981987487104685,1.6610284675287166
neutral,0.38176132767846366,0.001526529232508461,0.18602566857604458,0.0652885815187658,0.19435525029191636,0.2507238049642126,0.21952139194465523,0.22105811038651452,0.001526529232508461,1.4833315516960088
sad,0.41522767674983274,0.004419239935392807,0.19573612905979773,0.08016293994236565,0.19887632659353377,0.2776702286740308,0.22758084989683622,0.23329103828600622,0.004419239935392807,1.5247718238737242
angry,0.38469702896696767,0.0011791487276518913,0.15557817825648637,0.09173715206884188,0.18132153382483293,0.2764894410579725,0.19442910353856838,0.18418193432226232,0.0011791487276518913,1.5046220427476331
angry,0.42616304834082364,0.01543149084653028,0.16303775477759627,0.06846083023027293,0.20452038747423035,0.23450094906983485,0.19847789055807302,0.2026300902287498,0.01543149084653028,1.5934978403765467
angry,0.3481455245512237,0.002350509515380037,0.10003617805114717,0.08304338834815243,0.2045125674675372,0.2119377324882131,0.166216348543535,0.14900629744189256,0.002350509515380037,1.4224033869124086
disgust,0.3610486115022062,0.0029299824937785365,0.15689219848659178,0.08506212375271982,0.21850024935019205,0.2333888708299601,0.19602925155763787,0.20623206586288795,0.0029299824937785365,1.5127203605449688
angry,0.39211582045781024,0.0024702804794790247,0.19706679706803742,0.07782080514176622,0.2039007943000294,0.27916161714093196,0.22421316214415432,0.22893498971475157,0.0024702804794790247,1.696462274393507
